        Disolvente:,'Acetona',     Temperatura ,298.0
        Solutos,        Fraccion,    % de Error
Resorcinol,0.15546618444451,-5.551262089443745
Catecol,0.14417385647753087,-6.134764349192452
Ribitol,0.0006265373489367025,6.820842664232776e-05
Manitol,4.88944939796615e-06,1.6397892375558802e-05
Eritritol,0.000623874756472123,0.0002529546628979323
Acido benzoico,0.18055501656983525,-0.005589183711974377
Acido malico,0.007414578010129447,0.00043466601074661026
"3,4-Dihidroxibenzaldehido",0.007781175337877175,9.061854048060686e-05
Siringaldehido,0.0789006180570377,-0.5516215060148502
Frambinona,0.24657661086818689,-1.2411111693191506
3-Antraniloyalanina,0.0013975290594099854,0.00025419141356661923
Hexacloroetano,0.5931267405919295,-1.3504053443457167
2-Imidazolinetiona,0.05303556091397101,0.00017984616231796115
DDM,0.022126144608512737,0.0005051496812705859
Antraceno,0.0020232831215552124,0.00041044877627169086
"Dibenzo[a,i]pireno",0.0006455500331341604,1.434072610008479e-05
Benzofluoranteno,0.0007019623048936083,0.0005355982691866579
3-metil-nonacosano,8.423099880239725e-06,4.728352624878815e-06
Lanosterol,0.0011265939098105493,-0.20945736654159128
Ergosterol,0.0023906424458136253,-0.32633573712024955
Campestrol,0.0023850395193112405,-0.10424723872846381
Estigmasterol,0.0015438385472269763,-0.28613104165196684
Ramnosa,0.018360414787543234,0.00018092353158921141
Demetilcotinina,0.1315695813404021,0.00017138196339066305
N-Isooctanoilnornicotina,0.04930553317901199,-0.16052056621249786
Ftalato de bis(2-etilhexilo),0.00040401704244415155,-0.9576848079709175
Dioctil ftalato,5.8696504565126105e-05,-0.9617473421192915
Trilinoleina,2.1049759595329835e-17,-6.487009972135378
Sclareolide,0.11769972558040946,0.0007334140309838327
Hidroquinona,0.6420213028340563,-23.222026921548757
p-tert-Butilcatecol,0.06320445306185053,-23.09105026221541
2-Naftalenol,0.023734765246903107,-4.866727462378971
        Disolvente:,'Acetona',     Temperatura ,298.15
        Solutos,        Fraccion,    % de Error
Resorcinol,0.1561146688051768,-5.512939914273464
Catecol,0.14484580747367015,-6.0895314642599105
Ribitol,0.0006330015102323242,7.090184163220313e-05
Manitol,4.958114412445058e-06,1.679513056923947e-05
Eritritol,0.0006301136253651609,0.00025983451134330523
Acido benzoico,0.1811383137681534,-0.005300205147400931
Acido malico,0.0074691078024342146,0.0004466951528980652
"3,4-Dihidroxibenzaldehido",0.00782729662351426,9.224341950976774e-05
Siringaldehido,0.07917683380939736,-0.5498679033481535
Frambinona,0.24715065630173677,-1.2358260004343566
3-Antraniloyalanina,0.0014051283832090843,0.00025783535621609843
Hexacloroetano,0.5928467456985375,-1.3446493831810395
2-Imidazolinetiona,0.053281432200637455,0.00018202065791942808
DDM,0.022296741068788,0.0005146407776807754
Antraceno,0.002037615220539114,0.00041536164374845076
"Dibenzo[a,i]pireno",0.0006498318756489721,1.4592849726308153e-05
Benzofluoranteno,0.000707034072451955,0.0005423590796455618
3-metil-nonacosano,8.564874629940467e-06,4.873273148942654e-06
Lanosterol,0.0011363474920616616,-0.2116779737712121
Ergosterol,0.0024118301328589766,-0.32854746807851026
Campestrol,0.0024065775386003865,-0.10626351093119721
Estigmasterol,0.001558538240670091,-0.28837638455373193
Ramnosa,0.018490265562594314,0.00018243287905225412
Demetilcotinina,0.1320924336246478,0.0001715759325460073
N-Isooctanoilnornicotina,0.04965367884672661,-0.1610419817528872
Ftalato de bis(2-etilhexilo),0.0004084904301458958,-0.9593271366029258
Dioctil ftalato,5.943169790257953e-05,-0.9634061060246542
Trilinoleina,2.1767203715349783e-17,-6.510791315897422
Sclareolide,0.11823725657924194,0.0007110721780222741
Hidroquinona,0.642753333930142,-23.115936488735002
p-tert-Butilcatecol,0.0634597168529914,-22.96981229548111
2-Naftalenol,0.023971514730849706,-4.858372258552568
  Disolvente:,'Acetona',  Temperatura ,298.15
 Solutos, Fraccion,  % de Error
Resorcinol,0.1561146688051768,-5.512939914273464
Catecol,0.14484580747367015,-6.0895314642599105
Ribitol,0.0006330015102323242,7.090184163220313e-05
Manitol,4.958114412445058e-06,1.679513056923947e-05
Eritritol,0.0006301136253651609,0.00025983451134330523
Acido benzoico,0.1811383137681534,-0.005300205147400931
Acido malico,0.0074691078024342146,0.0004466951528980652
"3,4-Dihidroxibenzaldehido",0.00782729662351426,9.224341950976774e-05
Siringaldehido,0.07917683380939736,-0.5498679033481535
Frambinona,0.24715065630173677,-1.2358260004343566
3-Antraniloyalanina,0.0014051283832090843,0.00025783535621609843
Hexacloroetano,0.5928467456985375,-1.3446493831810395
2-Imidazolinetiona,0.053281432200637455,0.00018202065791942808
DDM,0.022296741068788,0.0005146407776807754
Antraceno,0.002037615220539114,0.00041536164374845076
"Dibenzo[a,i]pireno",0.0006498318756489721,1.4592849726308153e-05
Benzofluoranteno,0.000707034072451955,0.0005423590796455618
3-metil-nonacosano,8.564874629940467e-06,4.873273148942654e-06
Lanosterol,0.0011363474920616616,-0.2116779737712121
Ergosterol,0.0024118301328589766,-0.32854746807851026
Campestrol,0.0024065775386003865,-0.10626351093119721
Estigmasterol,0.001558538240670091,-0.28837638455373193
Ramnosa,0.018490265562594314,0.00018243287905225412
Demetilcotinina,0.1320924336246478,0.0001715759325460073
N-Isooctanoilnornicotina,0.04965367884672661,-0.1610419817528872
Ftalato de bis(2-etilhexilo),0.0004084904301458958,-0.9593271366029258
Dioctil ftalato,5.943169790257953e-05,-0.9634061060246542
Trilinoleina,2.1767203715349783e-17,-6.510791315897422
Sclareolide,0.11823725657924194,0.0007110721780222741
Hidroquinona,0.642753333930142,-23.115936488735002
p-tert-Butilcatecol,0.0634597168529914,-22.96981229548111
2-Naftalenol,0.023971514730849706,-4.858372258552568
