,,1,2,3,4,5,6,7,8,70,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,
Grupo secundario,Grupo secundario,CH3,CH2,CH,C,CH2=CH,CH=CH,CH2=C,CH=C,C=C,ACH,AC,ACCH3,ACCH2,ACCH,OH,CH3OH,H2O,ACOH,CH3CO,CH2CO,CHO,CH3COO,CH2COO,HCOO,CH3O,CH2O,CH-O,FCH2O,CH3NH2,CH2NH2,CHNH2,CH3NH,CH2NH,CHNH,CH3N,CH2N,ACNH2,C5H5N,C5H4N,C5H3N,CH3CN,CH2CN,COOH,HCOOH,CH2Cl,CHCl,CCl,CH2Cl2,CHCl2,CCl2,CHCl3,CCl3,CCl4,ACCl,CH3NO2,CH2NO2,CHNO2,ACNO2,CS2,CH3SH,CH2SH,furfural,(CH2OH)2,I,Br,CH=-C,C=-C,CH3SOCH3,CH2=CH-C=-N,Cl-(C=C),ACF,DMF-1,DMF-2,CF3,CF2,CF,COO,SiH3,SiH2,SiH,Si,SiH2O,SiHO,SiO,NMP,CCl3F,CCl2F,HCCl2F,HCClF,CClF2,HCClF2,CClF3,CCl2F2,CONH2,CONHCH3,CONHCH2,CON(CH3)2,CONCH3CH2,CON(CH2)2,C2H5O2,C2H4O2,CH3S,CH2S,CHS,Morpholine,C4H4S,C4H3S,C4H2S,
1,CH3,0,0,0,0,86.02,86.02,86.02,86.02,86.02,61.13,61.13,76.5,76.5,76.5,986.5,697.2,1318,1333,476.4,476.4,677,232.1,232.1,507,251.5,251.5,251.5,251.5,391.5,391.5,391.5,255.7,255.7,255.7,206.6,206.6,920.7,287.8,287.8,287.8,597,597,663.5,663.5,35.93,35.93,35.93,53.76,53.76,53.76,24.9,24.9,104.3,11.44,661.5,661.5,661.5,543,153.6,184.4,184.4,354.6,3025,335.8,479.5,298.9,298.9,526.5,689,-4.189,125.8,485.3,485.3,-2.859,-2.859,-2.859,387.1,-450.4,-450.4,-450.4,-450.4,252.7,252.7,252.7,220.3,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,390.9,390.9,390.9,390.9,390.9,390.9,553.3,553.3,187,187,187,216.1,92.99,92.99,92.99,1
2,CH2,0,0,0,0,86.02,86.02,86.02,86.02,86.02,61.13,61.13,76.5,76.5,76.5,986.5,697.2,1318,1333,476.4,476.4,677,232.1,232.1,507,251.5,251.5,251.5,251.5,391.5,391.5,391.5,255.7,255.7,255.7,206.6,206.6,920.7,287.8,287.8,287.8,597,597,663.5,663.5,35.93,35.93,35.93,53.76,53.76,53.76,24.9,24.9,104.3,11.44,661.5,661.5,661.5,543,153.6,184.4,184.4,354.6,3025,335.8,479.5,298.9,298.9,526.5,689,-4.189,125.8,485.3,485.3,-2.859,-2.859,-2.859,387.1,-450.4,-450.4,-450.4,-450.4,252.7,252.7,252.7,220.3,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,390.9,390.9,390.9,390.9,390.9,390.9,553.3,553.3,187,187,187,216.1,92.99,92.99,92.99,2
3,CH,0,0,0,0,86.02,86.02,86.02,86.02,86.02,61.13,61.13,76.5,76.5,76.5,986.5,697.2,1318,1333,476.4,476.4,677,232.1,232.1,507,251.5,251.5,251.5,251.5,391.5,391.5,391.5,255.7,255.7,255.7,206.6,206.6,920.7,287.8,287.8,287.8,597,597,663.5,663.5,35.93,35.93,35.93,53.76,53.76,53.76,24.9,24.9,104.3,11.44,661.5,661.5,661.5,543,153.6,184.4,184.4,354.6,3025,335.8,479.5,298.9,298.9,526.5,689,-4.189,125.8,485.3,485.3,-2.859,-2.859,-2.859,387.1,-450.4,-450.4,-450.4,-450.4,252.7,252.7,252.7,220.3,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,390.9,390.9,390.9,390.9,390.9,390.9,553.3,553.3,187,187,187,216.1,92.99,92.99,92.99,3
4,C,0,0,0,0,86.02,86.02,86.02,86.02,86.02,61.13,61.13,76.5,76.5,76.5,986.5,697.2,1318,1333,476.4,476.4,677,232.1,232.1,507,251.5,251.5,251.5,251.5,391.5,391.5,391.5,255.7,255.7,255.7,206.6,206.6,920.7,287.8,287.8,287.8,597,597,663.5,663.5,35.93,35.93,35.93,53.76,53.76,53.76,24.9,24.9,104.3,11.44,661.5,661.5,661.5,543,153.6,184.4,184.4,354.6,3025,335.8,479.5,298.9,298.9,526.5,689,-4.189,125.8,485.3,485.3,-2.859,-2.859,-2.859,387.1,-450.4,-450.4,-450.4,-450.4,252.7,252.7,252.7,220.3,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,390.9,390.9,390.9,390.9,390.9,390.9,553.3,553.3,187,187,187,216.1,92.99,92.99,92.99,4
5,CH2=CH,-35.36,-35.36,-35.36,-35.36,0,0,0,0,0,38.81,38.81,74.15,74.15,74.15,524.1,787.6,270.6,526.1,182.6,182.6,448.8,37.85,37.85,333.5,214.5,214.5,214.5,214.5,240.9,240.9,240.9,163.9,163.9,163.9,61.11,61.11,749.3,280.5,280.5,280.5,336.9,336.9,318.9,318.9,-36.87,-36.87,-36.87,58.55,58.55,58.55,-13.99,-13.99,-109.7,100.1,357.5,357.5,357.5,0,76.3,0,0,262.9,0,0,183.8,31.14,31.14,179,-52.87,-66.46,359.3,-70.45,-70.45,449.4,449.4,449.4,48.33,0,0,0,0,0,0,0,86.46,0,0,0,0,0,0,0,0,200.2,200.2,200.2,200.2,200.2,200.2,268.1,268.1,-617,-617,-617,62.56,0,0,0,5
6,CH=CH,-35.36,-35.36,-35.36,-35.36,0,0,0,0,0,38.81,38.81,74.15,74.15,74.15,524.1,787.6,270.6,526.1,182.6,182.6,448.8,37.85,37.85,333.5,214.5,214.5,214.5,214.5,240.9,240.9,240.9,163.9,163.9,163.9,61.11,61.11,749.3,280.5,280.5,280.5,336.9,336.9,318.9,318.9,-36.87,-36.87,-36.87,58.55,58.55,58.55,-13.99,-13.99,-109.7,100.1,357.5,357.5,357.5,0,76.3,0,0,262.9,0,0,183.8,31.14,31.14,179,-52.87,-66.46,359.3,-70.45,-70.45,449.4,449.4,449.4,48.33,0,0,0,0,0,0,0,86.46,0,0,0,0,0,0,0,0,200.2,200.2,200.2,200.2,200.2,200.2,268.1,268.1,-617,-617,-617,62.56,0,0,0,6
7,CH2=C,-35.36,-35.36,-35.36,-35.36,0,0,0,0,0,38.81,38.81,74.15,74.15,74.15,524.1,787.6,270.6,526.1,182.6,182.6,448.8,37.85,37.85,333.5,214.5,214.5,214.5,214.5,240.9,240.9,240.9,163.9,163.9,163.9,61.11,61.11,749.3,280.5,280.5,280.5,336.9,336.9,318.9,318.9,-36.87,-36.87,-36.87,58.55,58.55,58.55,-13.99,-13.99,-109.7,100.1,357.5,357.5,357.5,0,76.3,0,0,262.9,0,0,183.8,31.14,31.14,179,-52.87,-66.46,359.3,-70.45,-70.45,449.4,449.4,449.4,48.33,0,0,0,0,0,0,0,86.46,0,0,0,0,0,0,0,0,200.2,200.2,200.2,200.2,200.2,200.2,268.1,268.1,-617,-617,-617,62.56,0,0,0,7
8,CH=C,-35.36,-35.36,-35.36,-35.36,0,0,0,0,0,38.81,38.81,74.15,74.15,74.15,524.1,787.6,270.6,526.1,182.6,182.6,448.8,37.85,37.85,333.5,214.5,214.5,214.5,214.5,240.9,240.9,240.9,163.9,163.9,163.9,61.11,61.11,749.3,280.5,280.5,280.5,336.9,336.9,318.9,318.9,-36.87,-36.87,-36.87,58.55,58.55,58.55,-13.99,-13.99,-109.7,100.1,357.5,357.5,357.5,0,76.3,0,0,262.9,0,0,183.8,31.14,31.14,179,-52.87,-66.46,359.3,-70.45,-70.45,449.4,449.4,449.4,48.33,0,0,0,0,0,0,0,86.46,0,0,0,0,0,0,0,0,200.2,200.2,200.2,200.2,200.2,200.2,268.1,268.1,-617,-617,-617,62.56,0,0,0,8
70,C=C,-35.36,-35.36,-35.36,-35.36,0,0,0,0,0,38.81,38.81,74.15,74.15,74.15,524.1,787.6,270.6,526.1,182.6,182.6,448.8,37.85,37.85,333.5,214.5,214.5,214.5,214.5,240.9,240.9,240.9,163.9,163.9,163.9,61.11,61.11,749.3,280.5,280.5,280.5,336.9,336.9,318.9,318.9,-36.87,-36.87,-36.87,58.55,58.55,58.55,-13.99,-13.99,-109.7,100.1,357.5,357.5,357.5,0,76.3,0,0,262.9,0,0,183.8,31.14,31.14,179,-52.87,-66.46,359.3,-70.45,-70.45,449.4,449.4,449.4,48.33,0,0,0,0,0,0,0,86.46,0,0,0,0,0,0,0,0,200.2,200.2,200.2,200.2,200.2,200.2,268.1,268.1,-617,-617,-617,62.56,0,0,0,9
9,ACH,-11.12,-11.12,-11.12,-11.12,3.446,3.446,3.446,3.446,3.446,0,0,167,167,167,636.1,637.4,903.8,1329,25.77,25.77,347.3,5.994,5.994,287.1,32.14,32.14,32.14,32.14,161.7,161.7,161.7,122.8,122.8,122.8,90.49,90.49,648.2,-4.449,-4.449,-4.449,212.5,212.5,537.4,537.4,-18.81,-18.81,-18.81,-144.4,-144.4,-144.4,-231.9,-231.9,3,187,168,168,168,194.9,52.07,-10.43,-10.43,-64.69,210.7,113.3,261.3,0,0,169.9,383.9,-259.1,389.3,245.6,245.6,22.67,22.67,22.67,103.5,-432.3,-432.3,-432.3,-432.3,238.9,238.9,238.9,30.04,-88.11,-88.11,-88.11,-88.11,-88.11,-88.11,-88.11,-88.11,0,0,0,0,0,0,333.3,333.3,0,0,0,-59.58,-39.16,-39.16,-39.16,10
10,AC,-11.12,-11.12,-11.12,-11.12,3.446,3.446,3.446,3.446,3.446,0,0,167,167,167,636.1,637.4,903.8,1329,25.77,25.77,347.3,5.994,5.994,287.1,32.14,32.14,32.14,32.14,161.7,161.7,161.7,122.8,122.8,122.8,90.49,90.49,648.2,-4.449,-4.449,-4.449,212.5,212.5,537.4,537.4,-18.81,-18.81,-18.81,-144.4,-144.4,-144.4,-231.9,-231.9,3,187,168,168,168,194.9,52.07,-10.43,-10.43,-64.69,210.7,113.3,261.3,0,0,169.9,383.9,-259.1,389.3,245.6,245.6,22.67,22.67,22.67,103.5,-432.3,-432.3,-432.3,-432.3,238.9,238.9,238.9,30.04,-88.11,-88.11,-88.11,-88.11,-88.11,-88.11,-88.11,-88.11,0,0,0,0,0,0,333.3,333.3,0,0,0,-59.58,-39.16,-39.16,-39.16,11
11,ACCH3,-69.7,-69.7,-69.7,-69.7,-113.6,-113.6,-113.6,-113.6,-113.6,-146.8,-146.8,0,0,0,803.2,603.3,5695,884.9,-52.1,-52.1,586.8,5688,5688,197.8,213.1,213.1,213.1,213.1,19.02,19.02,19.02,-49.29,-49.29,-49.29,23.5,23.5,664.2,52.8,52.8,52.8,6096,6096,872.3,872.3,-114.1,-114.1,-114.1,-111,-111,-111,-80.25,-80.25,-141.3,-211,3629,3629,3629,4448,-9.451,393.6,393.6,48.49,4975,259,210,0,0,4284,-119.2,-282.5,101.4,5629,5629,0,0,0,69.26,0,0,0,0,0,0,0,46.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.9,421.9,0,0,0,-203.6,184.9,184.9,184.9,12
12,ACCH2,-69.7,-69.7,-69.7,-69.7,-113.6,-113.6,-113.6,-113.6,-113.6,-146.8,-146.8,0,0,0,803.2,603.3,5695,884.9,-52.1,-52.1,586.8,5688,5688,197.8,213.1,213.1,213.1,213.1,19.02,19.02,19.02,-49.29,-49.29,-49.29,23.5,23.5,664.2,52.8,52.8,52.8,6096,6096,872.3,872.3,-114.1,-114.1,-114.1,-111,-111,-111,-80.25,-80.25,-141.3,-211,3629,3629,3629,4448,-9.451,393.6,393.6,48.49,4975,259,210,0,0,4284,-119.2,-282.5,101.4,5629,5629,0,0,0,69.26,0,0,0,0,0,0,0,46.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.9,421.9,0,0,0,-203.6,184.9,184.9,184.9,13
13,ACCH,-69.7,-69.7,-69.7,-69.7,-113.6,-113.6,-113.6,-113.6,-113.6,-146.8,-146.8,0,0,0,803.2,603.3,5695,884.9,-52.1,-52.1,586.8,5688,5688,197.8,213.1,213.1,213.1,213.1,19.02,19.02,19.02,-49.29,-49.29,-49.29,23.5,23.5,664.2,52.8,52.8,52.8,6096,6096,872.3,872.3,-114.1,-114.1,-114.1,-111,-111,-111,-80.25,-80.25,-141.3,-211,3629,3629,3629,4448,-9.451,393.6,393.6,48.49,4975,259,210,0,0,4284,-119.2,-282.5,101.4,5629,5629,0,0,0,69.26,0,0,0,0,0,0,0,46.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.9,421.9,0,0,0,-203.6,184.9,184.9,184.9,14
14,OH,156.4,156.4,156.4,156.4,457,457,457,457,457,89.6,89.6,25.82,25.82,25.82,0,-137.1,353.5,-259.7,84,84,-203.6,101.1,101.1,267.8,28.06,28.06,28.06,28.06,8.642,8.642,8.642,42.7,42.7,42.7,-323,-323,-52.39,170,170,170,6.712,6.712,199,199,75.62,75.62,75.62,65.28,65.28,65.28,-98.12,-98.12,143.1,123.5,256.5,256.5,256.5,157.1,488.9,147.5,147.5,-120.5,-318.9,313.5,202.1,727.8,727.8,-202.1,74.27,225.8,44.78,-143.9,-143.9,0,0,0,190.3,-817.7,-817.7,-817.7,-817.7,0,0,0,-504.2,72.96,72.96,72.96,72.96,72.96,72.96,72.96,72.96,-382.7,-382.7,-382.7,-382.7,-382.7,-382.7,-248.3,-248.3,0,0,0,104.7,57.65,57.65,57.65,15
15,CH3OH,16.51,16.51,16.51,16.51,-12.52,-12.52,-12.52,-12.52,-12.52,-50,-50,-44.5,-44.5,-44.5,249.1,0,-181,-101.7,23.39,23.39,306.4,-10.72,-10.72,179.7,-128.6,-128.6,-128.6,-128.6,359.3,359.3,359.3,-20.98,-20.98,-20.98,53.9,53.9,489.7,580.5,580.5,580.5,53.28,53.28,-202,-202,-38.32,-38.32,-38.32,-102.5,-102.5,-102.5,-139.4,-139.4,-44.76,-28.25,75.14,75.14,75.14,0,-31.09,17.5,17.5,0,-119.2,212.1,106.3,0,0,-399.3,-5.224,33.47,-48.25,-172.4,-172.4,0,0,0,165.7,0,0,0,0,0,0,0,0,-52.1,-52.1,-52.1,-52.1,-52.1,-52.1,-52.1,-52.1,0,0,0,0,0,0,0,0,37.63,37.63,37.63,-59.4,-46.01,-46.01,-46.01,16
16,H2O,300,300,300,300,496.1,496.1,496.1,496.1,496.1,362.3,362.3,377.6,377.6,377.6,-229.1,289.6,0,324.5,-195.4,-195.4,-116,72.87,72.87,0,540.5,540.5,540.5,540.5,48.89,48.89,48.89,168,168,168,304,304,243.2,459,459,459,112.6,112.6,-14.09,-14.09,325.4,325.4,325.4,370.4,370.4,370.4,353.7,353.7,497.5,133.9,220.6,220.6,220.6,399.5,887.1,0,0,188,12.72,0,0,0,0,-139,160.8,0,0,319,319,0,0,0,-197.5,-363.8,-363.8,-363.8,-363.8,0,0,0,-452.2,0,0,0,0,0,0,0,0,835.6,835.6,835.6,835.6,835.6,835.6,139.6,139.6,0,0,0,407.9,0,0,0,17
17,ACOH,275.8,275.8,275.8,275.8,217.5,217.5,217.5,217.5,217.5,25.34,25.34,244.2,244.2,244.2,-451.6,-265.2,-601.8,0,-356.1,-356.1,-271.1,-449.4,-449.4,0,-162.9,-162.9,-162.9,-162.9,0,0,0,0,0,0,0,0,119.9,-305.5,-305.5,-305.5,0,0,408.9,408.9,0,0,0,0,0,0,0,0,1827,6915,0,0,0,0,8484,0,0,0,-687.1,0,0,0,0,0,0,0,0,0,0,0,0,0,-494.2,0,0,0,0,0,0,0,-659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,1005,1005,18
18,CH3CO,26.76,26.76,26.76,26.76,42.92,42.92,42.92,42.92,42.92,140.1,140.1,365.8,365.8,365.8,164.5,108.7,472.5,-133.1,0,0,-37.36,-213.7,-213.7,-190.4,-103.6,-103.6,-103.6,-103.6,0,0,0,-174.2,-174.2,-174.2,-169,-169,6201,7.341,7.341,7.341,481.7,481.7,669.4,669.4,-191.7,-191.7,-191.7,-130.3,-130.3,-130.3,-354.6,-354.6,-39.2,-119.8,137.5,137.5,137.5,548.5,216.1,-46.28,-46.28,-163.7,71.46,53.59,245.2,-246.6,-246.6,-44.58,0,-34.57,0,-61.7,-61.7,0,0,0,-18.8,-588.9,-588.9,-588.9,-588.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.54,37.54,0,0,0,0,-162.6,-162.6,-162.6,19
19,CH2CO,26.76,26.76,26.76,26.76,42.92,42.92,42.92,42.92,42.92,140.1,140.1,365.8,365.8,365.8,164.5,108.7,472.5,-133.1,0,0,-37.36,-213.7,-213.7,-190.4,-103.6,-103.6,-103.6,-103.6,0,0,0,-174.2,-174.2,-174.2,-169,-169,6201,7.341,7.341,7.341,481.7,481.7,669.4,669.4,-191.7,-191.7,-191.7,-130.3,-130.3,-130.3,-354.6,-354.6,-39.2,-119.8,137.5,137.5,137.5,548.5,216.1,-46.28,-46.28,-163.7,71.46,53.59,245.2,-246.6,-246.6,-44.58,0,-34.57,0,-61.7,-61.7,0,0,0,-18.8,-588.9,-588.9,-588.9,-588.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.54,37.54,0,0,0,0,-162.6,-162.6,-162.6,20
20,CHO,505.7,505.7,505.7,505.7,56.3,56.3,56.3,56.3,56.3,23.39,23.39,106,106,106,529,-340.2,480.8,-155.6,128,128,0,-110.3,-110.3,766,304.1,304.1,304.1,304.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.5,497.5,751.9,751.9,751.9,67.52,67.52,67.52,-483.7,-483.7,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,-339.2,172.4,0,-268.8,-268.8,0,0,0,-275.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
21,CH3COO,114.8,114.8,114.8,114.8,132.1,132.1,132.1,132.1,132.1,85.84,85.84,-170,-170,-170,245.4,249.6,200.8,-36.72,372.2,372.2,185.1,0,0,-241.8,-235.7,-235.7,-235.7,-235.7,0,0,0,-73.5,-73.5,-73.5,-196.7,-196.7,475.5,0,0,0,494.6,494.6,660.2,660.2,-34.74,-34.74,-34.74,108.9,108.9,108.9,-209.7,-209.7,54.57,442.4,-81.13,-81.13,-81.13,0,183,0,0,202.3,-101.7,148.3,18.88,0,0,52.08,-28.61,-275.2,0,85.33,85.33,0,0,0,560.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.8,151.8,0,0,0,0,0,0,0,22
22,CH2COO,114.8,114.8,114.8,114.8,132.1,132.1,132.1,132.1,132.1,85.84,85.84,-170,-170,-170,245.4,249.6,200.8,-36.72,372.2,372.2,185.1,0,0,-241.8,-235.7,-235.7,-235.7,-235.7,0,0,0,-73.5,-73.5,-73.5,-196.7,-196.7,475.5,0,0,0,494.6,494.6,660.2,660.2,-34.74,-34.74,-34.74,108.9,108.9,108.9,-209.7,-209.7,54.57,442.4,-81.13,-81.13,-81.13,0,183,0,0,202.3,-101.7,148.3,18.88,0,0,52.08,-28.61,-275.2,0,85.33,85.33,0,0,0,560.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.8,151.8,0,0,0,0,0,0,0,23
23,HCOO,329.3,329.3,329.3,329.3,110.4,110.4,110.4,110.4,110.4,18.12,18.12,428,428,428,139.4,227.8,0,0,385.4,385.4,-236.5,1167,1167,0,-234,-234,-234,-234,0,0,0,0,0,0,0,0,0,-233.4,-233.4,-233.4,-47.25,-47.25,-268.1,-268.1,0,0,0,0,0,0,-126.2,-126.2,179.7,24.28,0,0,0,0,0,103.9,103.9,0,0,0,0,0,0,0,0,-11.4,0,308.9,308.9,0,0,0,-122.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
24,CH3O,83.36,83.36,83.36,83.36,26.51,26.51,26.51,26.51,26.51,52.13,52.13,65.69,65.69,65.69,237.7,238.4,-314.7,-178.5,191.1,191.1,-7.838,461.3,461.3,457.3,0,0,0,0,-78.36,-78.36,-78.36,251.5,251.5,251.5,5422,5422,0,213.2,213.2,213.2,-18.51,-18.51,664.6,664.6,301.1,301.1,301.1,137.8,137.8,137.8,-154.3,-154.3,47.67,134.8,95.18,95.18,95.18,0,140.9,-8.538,-8.538,170.1,-20.11,-149.5,-202.3,0,0,128.8,0,240.2,-274,254.8,254.8,0,0,0,417,1338,1338,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
25,CH2O,83.36,83.36,83.36,83.36,26.51,26.51,26.51,26.51,26.51,52.13,52.13,65.69,65.69,65.69,237.7,238.4,-314.7,-178.5,191.1,191.1,-7.838,461.3,461.3,457.3,0,0,0,0,-78.36,-78.36,-78.36,251.5,251.5,251.5,5422,5422,0,213.2,213.2,213.2,-18.51,-18.51,664.6,664.6,301.1,301.1,301.1,137.8,137.8,137.8,-154.3,-154.3,47.67,134.8,95.18,95.18,95.18,0,140.9,-8.538,-8.538,170.1,-20.11,-149.5,-202.3,0,0,128.8,0,240.2,-274,254.8,254.8,0,0,0,417,1338,1338,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
