,,1,2,3,4,5,6,7,8,70,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,
26,CH-O,83.36,83.36,83.36,83.36,26.51,26.51,26.51,26.51,26.51,52.13,52.13,65.69,65.69,65.69,237.7,238.4,-314.7,-178.5,191.1,191.1,-7.838,461.3,461.3,457.3,0,0,0,0,-78.36,-78.36,-78.36,251.5,251.5,251.5,5422,5422,0,213.2,213.2,213.2,-18.51,-18.51,664.6,664.6,301.1,301.1,301.1,137.8,137.8,137.8,-154.3,-154.3,47.67,134.8,95.18,95.18,95.18,0,140.9,-8.538,-8.538,170.1,-20.11,-149.5,-202.3,0,0,128.8,0,240.2,-274,254.8,254.8,0,0,0,417,1338,1338,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
27,FCH2O,83.36,83.36,83.36,83.36,26.51,26.51,26.51,26.51,26.51,52.13,52.13,65.69,65.69,65.69,237.7,238.4,-314.7,-178.5,191.1,191.1,-7.838,461.3,461.3,457.3,0,0,0,0,-78.36,-78.36,-78.36,251.5,251.5,251.5,5422,5422,0,213.2,213.2,213.2,-18.51,-18.51,664.6,664.6,301.1,301.1,301.1,137.8,137.8,137.8,-154.3,-154.3,47.67,134.8,95.18,95.18,95.18,0,140.9,-8.538,-8.538,170.1,-20.11,-149.5,-202.3,0,0,128.8,0,240.2,-274,254.8,254.8,0,0,0,417,1338,1338,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
28,CH3NH2,-30.48,-30.48,-30.48,-30.48,1.163,1.163,1.163,1.163,1.163,-44.85,-44.85,296.4,296.4,296.4,-242.8,-481.7,-330.4,0,0,0,0,0,0,0,222.1,222.1,222.1,222.1,0,0,0,-107.2,-107.2,-107.2,-41.11,-41.11,-200.7,0,0,0,358.9,358.9,0,0,-82.92,-82.92,-82.92,0,0,0,0,0,-99.81,30.05,0,0,0,0,0,-70.14,-70.14,0,0,0,0,0,0,0,0,0,0,-164,-164,0,0,0,0,-664.4,-664.4,-664.4,-664.4,275.9,275.9,275.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
29,CH2NH2,-30.48,-30.48,-30.48,-30.48,1.163,1.163,1.163,1.163,1.163,-44.85,-44.85,296.4,296.4,296.4,-242.8,-481.7,-330.4,0,0,0,0,0,0,0,222.1,222.1,222.1,222.1,0,0,0,-107.2,-107.2,-107.2,-41.11,-41.11,-200.7,0,0,0,358.9,358.9,0,0,-82.92,-82.92,-82.92,0,0,0,0,0,-99.81,30.05,0,0,0,0,0,-70.14,-70.14,0,0,0,0,0,0,0,0,0,0,-164,-164,0,0,0,0,-664.4,-664.4,-664.4,-664.4,275.9,275.9,275.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
30,CHNH2,-30.48,-30.48,-30.48,-30.48,1.163,1.163,1.163,1.163,1.163,-44.85,-44.85,296.4,296.4,296.4,-242.8,-481.7,-330.4,0,0,0,0,0,0,0,222.1,222.1,222.1,222.1,0,0,0,-107.2,-107.2,-107.2,-41.11,-41.11,-200.7,0,0,0,358.9,358.9,0,0,-82.92,-82.92,-82.92,0,0,0,0,0,-99.81,30.05,0,0,0,0,0,-70.14,-70.14,0,0,0,0,0,0,0,0,0,0,-164,-164,0,0,0,0,-664.4,-664.4,-664.4,-664.4,275.9,275.9,275.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
31,CH3NH,65.33,65.33,65.33,65.33,-28.7,-28.7,-28.7,-28.7,-28.7,-22.31,-22.31,223,223,223,-150,-370.3,-448.2,0,394.6,394.6,0,136,136,0,-56.08,-56.08,-56.08,-56.08,127.4,127.4,127.4,0,0,0,-189.2,-189.2,0,0,0,0,147.1,147.1,0,0,0,0,0,0,0,0,0,0,71.23,-18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.9,0,0,0,0,0,-38.77,448.1,448.1,448.1,448.1,-1327,-1327,-1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
32,CH2NH,65.33,65.33,65.33,65.33,-28.7,-28.7,-28.7,-28.7,-28.7,-22.31,-22.31,223,223,223,-150,-370.3,-448.2,0,394.6,394.6,0,136,136,0,-56.08,-56.08,-56.08,-56.08,127.4,127.4,127.4,0,0,0,-189.2,-189.2,0,0,0,0,147.1,147.1,0,0,0,0,0,0,0,0,0,0,71.23,-18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.9,0,0,0,0,0,-38.77,448.1,448.1,448.1,448.1,-1327,-1327,-1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
33,CHNH,65.33,65.33,65.33,65.33,-28.7,-28.7,-28.7,-28.7,-28.7,-22.31,-22.31,223,223,223,-150,-370.3,-448.2,0,394.6,394.6,0,136,136,0,-56.08,-56.08,-56.08,-56.08,127.4,127.4,127.4,0,0,0,-189.2,-189.2,0,0,0,0,147.1,147.1,0,0,0,0,0,0,0,0,0,0,71.23,-18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.9,0,0,0,0,0,-38.77,448.1,448.1,448.1,448.1,-1327,-1327,-1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
34,CH3N,-83.98,-83.98,-83.98,-83.98,-25.38,-25.38,-25.38,-25.38,-25.38,-223.9,-223.9,109.9,109.9,109.9,28.6,-406.8,-598.8,0,225.3,225.3,0,2889,2889,0,-194.1,-194.1,-194.1,-194.1,38.89,38.89,38.89,865.9,865.9,865.9,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.85,-73.85,-73.85,-352.9,-352.9,-262,-181.9,0,0,0,0,0,0,0,0,0,0,0,0,0,243.1,0,0,-196.3,22.05,22.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
35,CH2N,-83.98,-83.98,-83.98,-83.98,-25.38,-25.38,-25.38,-25.38,-25.38,-223.9,-223.9,109.9,109.9,109.9,28.6,-406.8,-598.8,0,225.3,225.3,0,2889,2889,0,-194.1,-194.1,-194.1,-194.1,38.89,38.89,38.89,865.9,865.9,865.9,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.85,-73.85,-73.85,-352.9,-352.9,-262,-181.9,0,0,0,0,0,0,0,0,0,0,0,0,0,243.1,0,0,-196.3,22.05,22.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
36,ACNH2,1139,1139,1139,1139,2000,2000,2000,2000,2000,247.5,247.5,762.8,762.8,762.8,-17.4,-118.1,-341.6,-253.1,-450.3,-450.3,0,-294.8,-294.8,0,0,0,0,0,-15.07,-15.07,-15.07,0,0,0,0,0,0,89.7,89.7,89.7,-281.6,-281.6,-396,-396,287,287,287,-111,-111,-111,0,0,882,617.5,0,0,0,-139.3,0,0,0,0,0.1004,0,0,0,0,0,0,0,0,-334.4,-334.4,0,0,0,-89.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
37,C5H5N,-101.6,-101.6,-101.6,-101.6,-47.63,-47.63,-47.63,-47.63,-47.63,31.87,31.87,49.8,49.8,49.8,-132.3,-378.2,-332.9,-341.6,29.1,29.1,0,0,0,554.4,-156.1,-156.1,-156.1,-156.1,0,0,0,0,0,0,0,0,117.4,0,0,0,-169.7,-169.7,-153.7,-153.7,0,0,0,-351.6,-351.6,-351.6,-114.7,-114.7,-205.3,0,0,0,0,2845,0,0,0,0,0,0,-60.78,0,0,0,0,160.7,-158.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-136.6,-136.6,-136.6,38
38,C5H4N,-101.6,-101.6,-101.6,-101.6,-47.63,-47.63,-47.63,-47.63,-47.63,31.87,31.87,49.8,49.8,49.8,-132.3,-378.2,-332.9,-341.6,29.1,29.1,0,0,0,554.4,-156.1,-156.1,-156.1,-156.1,0,0,0,0,0,0,0,0,117.4,0,0,0,-169.7,-169.7,-153.7,-153.7,0,0,0,-351.6,-351.6,-351.6,-114.7,-114.7,-205.3,0,0,0,0,2845,0,0,0,0,0,0,-60.78,0,0,0,0,160.7,-158.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-136.6,-136.6,-136.6,39
39,C5H3N,-101.6,-101.6,-101.6,-101.6,-47.63,-47.63,-47.63,-47.63,-47.63,31.87,31.87,49.8,49.8,49.8,-132.3,-378.2,-332.9,-341.6,29.1,29.1,0,0,0,554.4,-156.1,-156.1,-156.1,-156.1,0,0,0,0,0,0,0,0,117.4,0,0,0,-169.7,-169.7,-153.7,-153.7,0,0,0,-351.6,-351.6,-351.6,-114.7,-114.7,-205.3,0,0,0,0,2845,0,0,0,0,0,0,-60.78,0,0,0,0,160.7,-158.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-136.6,-136.6,-136.6,40
40,CH3CN,24.82,24.82,24.82,24.82,-40.62,-40.62,-40.62,-40.62,-40.62,-22.97,-22.97,-138.4,-138.4,-138.4,185.4,162.6,242.8,0,-287.5,-287.5,0,-266.6,-266.6,99.37,38.81,38.81,38.81,38.81,-157.3,-157.3,-157.3,-108.5,-108.5,-108.5,0,0,777.4,134.3,134.3,134.3,0,0,0,0,4.933,4.933,4.933,-152.7,-152.7,-152.7,-15.62,-15.62,-54.86,-4.624,-0.515,-0.515,-0.515,0,230.9,0.4604,0.4604,0,177.5,0,-62.17,-203,-203,0,81.57,-55.77,0,-151.5,-151.5,0,0,0,120.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23,16.23,0,0,0,0,0,0,0,41
41,CH2CN,24.82,24.82,24.82,24.82,-40.62,-40.62,-40.62,-40.62,-40.62,-22.97,-22.97,-138.4,-138.4,-138.4,185.4,162.6,242.8,0,-287.5,-287.5,0,-266.6,-266.6,99.37,38.81,38.81,38.81,38.81,-157.3,-157.3,-157.3,-108.5,-108.5,-108.5,0,0,777.4,134.3,134.3,134.3,0,0,0,0,4.933,4.933,4.933,-152.7,-152.7,-152.7,-15.62,-15.62,-54.86,-4.624,-0.515,-0.515,-0.515,0,230.9,0.4604,0.4604,0,177.5,0,-62.17,-203,-203,0,81.57,-55.77,0,-151.5,-151.5,0,0,0,120.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23,16.23,0,0,0,0,0,0,0,42
42,COOH,315.3,315.3,315.3,315.3,1264,1264,1264,1264,1264,62.32,62.32,89.86,89.86,89.86,-151,339.8,-66.17,-11,-297.8,-297.8,-165.5,-256.3,-256.3,193.9,-338.5,-338.5,-338.5,-338.5,0,0,0,0,0,0,0,0,493.8,-313.5,-313.5,-313.5,0,0,0,0,13.41,13.41,13.41,-44.7,-44.7,-44.7,39.63,39.63,183.4,-79.08,0,0,0,0,0,0,0,-208.9,0,228.4,-95,0,0,-463.6,0,-11.16,0,-228,-228,0,0,0,-337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-322.3,-322.3,-322.3,-322.3,-322.3,-322.3,0,0,0,0,0,0,0,0,0,43
43,HCOOH,315.3,315.3,315.3,315.3,1264,1264,1264,1264,1264,62.32,62.32,89.86,89.86,89.86,-151,339.8,-66.17,-11,-297.8,-297.8,-165.5,-256.3,-256.3,193.9,-338.5,-338.5,-338.5,-338.5,0,0,0,0,0,0,0,0,493.8,-313.5,-313.5,-313.5,0,0,0,0,13.41,13.41,13.41,-44.7,-44.7,-44.7,39.63,39.63,183.4,-79.08,0,0,0,0,0,0,0,-208.9,0,228.4,-95,0,0,-463.6,0,-11.16,0,-228,-228,0,0,0,-337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-322.3,-322.3,-322.3,-322.3,-322.3,-322.3,0,0,0,0,0,0,0,0,0,44
44,CH2Cl,91.46,91.46,91.46,91.46,40.25,40.25,40.25,40.25,40.25,4.68,4.68,122.9,122.9,122.9,562.2,529,698.2,0,286.3,286.3,-47.51,35.38,35.38,0,225.4,225.4,225.4,225.4,131.2,131.2,131.2,0,0,0,0,0,429.7,0,0,0,54.32,54.32,519.1,519.1,0,0,0,108.3,108.3,108.3,249.6,249.6,62.42,153,32.73,32.73,32.73,86.2,450.1,59.02,59.02,0,0,0,344.4,0,0,0,0,-168.2,0,0,0,0,0,0,63.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
45,CHCl,91.46,91.46,91.46,91.46,40.25,40.25,40.25,40.25,40.25,4.68,4.68,122.9,122.9,122.9,562.2,529,698.2,0,286.3,286.3,-47.51,35.38,35.38,0,225.4,225.4,225.4,225.4,131.2,131.2,131.2,0,0,0,0,0,429.7,0,0,0,54.32,54.32,519.1,519.1,0,0,0,108.3,108.3,108.3,249.6,249.6,62.42,153,32.73,32.73,32.73,86.2,450.1,59.02,59.02,0,0,0,344.4,0,0,0,0,-168.2,0,0,0,0,0,0,63.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
46,CCl,91.46,91.46,91.46,91.46,40.25,40.25,40.25,40.25,40.25,4.68,4.68,122.9,122.9,122.9,562.2,529,698.2,0,286.3,286.3,-47.51,35.38,35.38,0,225.4,225.4,225.4,225.4,131.2,131.2,131.2,0,0,0,0,0,429.7,0,0,0,54.32,54.32,519.1,519.1,0,0,0,108.3,108.3,108.3,249.6,249.6,62.42,153,32.73,32.73,32.73,86.2,450.1,59.02,59.02,0,0,0,344.4,0,0,0,0,-168.2,0,0,0,0,0,0,63.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
47,CH2Cl2,34.01,34.01,34.01,34.01,-23.5,-23.5,-23.5,-23.5,-23.5,121.3,121.3,140.8,140.8,140.8,527.6,669.9,708.7,0,82.86,82.86,190.6,-133,-133,0,-197.7,-197.7,-197.7,-197.7,0,0,0,0,0,0,-141.4,-141.4,140.8,587.3,587.3,587.3,258.6,258.6,543.3,543.3,-84.53,-84.53,-84.53,0,0,0,0,0,56.33,223.1,108.9,108.9,108.9,0,0,0,0,0,0,177.6,315.9,0,0,215,0,-91.8,0,0,0,0,0,0,-96.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.1,361.1,0,0,0,0,0,0,0,48
48,CHCl2,34.01,34.01,34.01,34.01,-23.5,-23.5,-23.5,-23.5,-23.5,121.3,121.3,140.8,140.8,140.8,527.6,669.9,708.7,0,82.86,82.86,190.6,-133,-133,0,-197.7,-197.7,-197.7,-197.7,0,0,0,0,0,0,-141.4,-141.4,140.8,587.3,587.3,587.3,258.6,258.6,543.3,543.3,-84.53,-84.53,-84.53,0,0,0,0,0,56.33,223.1,108.9,108.9,108.9,0,0,0,0,0,0,177.6,315.9,0,0,215,0,-91.8,0,0,0,0,0,0,-96.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.1,361.1,0,0,0,0,0,0,0,49
49,CCl2,34.01,34.01,34.01,34.01,-23.5,-23.5,-23.5,-23.5,-23.5,121.3,121.3,140.8,140.8,140.8,527.6,669.9,708.7,0,82.86,82.86,190.6,-133,-133,0,-197.7,-197.7,-197.7,-197.7,0,0,0,0,0,0,-141.4,-141.4,140.8,587.3,587.3,587.3,258.6,258.6,543.3,543.3,-84.53,-84.53,-84.53,0,0,0,0,0,56.33,223.1,108.9,108.9,108.9,0,0,0,0,0,0,177.6,315.9,0,0,215,0,-91.8,0,0,0,0,0,0,-96.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.1,361.1,0,0,0,0,0,0,0,50
50,CHCl3,36.7,36.7,36.7,36.7,51.06,51.06,51.06,51.06,51.06,288.5,288.5,69.9,69.9,69.9,742.1,649.1,826.8,0,552.1,552.1,242.8,176.5,176.5,235.6,-20.93,-20.93,-20.93,-20.93,0,0,0,0,0,0,-293.7,-293.7,0,18.98,18.98,18.98,74.04,74.04,504.2,504.2,-157.1,-157.1,-157.1,0,0,0,0,0,-30.1,192.1,0,0,0,0,116.6,0,0,-64.38,0,86.4,0,0,0,363.7,0,111.2,0,0,0,0,0,0,255.8,0,0,0,0,0,0,0,-35.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565.9,565.9,565.9,0,0,0,0,51
51,CCl3,36.7,36.7,36.7,36.7,51.06,51.06,51.06,51.06,51.06,288.5,288.5,69.9,69.9,69.9,742.1,649.1,826.8,0,552.1,552.1,242.8,176.5,176.5,235.6,-20.93,-20.93,-20.93,-20.93,0,0,0,0,0,0,-293.7,-293.7,0,18.98,18.98,18.98,74.04,74.04,504.2,504.2,-157.1,-157.1,-157.1,0,0,0,0,0,-30.1,192.1,0,0,0,0,116.6,0,0,-64.38,0,86.4,0,0,0,363.7,0,111.2,0,0,0,0,0,0,255.8,0,0,0,0,0,0,0,-35.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565.9,565.9,565.9,0,0,0,0,52
52,CCl4,-78.45,-78.45,-78.45,-78.45,160.9,160.9,160.9,160.9,160.9,-4.7,-4.7,134.7,134.7,134.7,856.3,709.6,1201,10000,372,372,0,129.5,129.5,351.9,113.9,113.9,113.9,113.9,261.1,261.1,261.1,91.13,91.13,91.13,316.9,316.9,898.2,368.5,368.5,368.5,492,492,631,631,11.8,11.8,11.8,17.97,17.97,17.97,51.9,51.9,0,-75.97,490.9,490.9,490.9,534.7,132.2,0,0,546.7,0,247.8,146.6,0,0,337.7,369.5,187.1,215.2,498.6,498.6,0,0,0,256.5,0,0,0,0,233.1,233.1,233.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.1,423.1,63.95,63.95,63.95,0,108.5,108.5,108.5,53
53,ACCl,106.8,106.8,106.8,106.8,70.32,70.32,70.32,70.32,70.32,-97.27,-97.27,402.5,402.5,402.5,325.7,612.8,-274.5,622.3,518.4,518.4,0,-171.1,-171.1,383.3,-25.15,-25.15,-25.15,-25.15,108.5,108.5,108.5,102.2,102.2,102.2,2951,2951,334.9,0,0,0,363.5,363.5,993.4,993.4,-129.7,-129.7,-129.7,-8.309,-8.309,-8.309,-0.227,-0.227,248.4,0,132.7,132.7,132.7,2213,0,0,0,0,0,0,593.4,0,0,0,0,0,0,0,0,0,0,0,-71.18,0,0,0,0,0,0,0,-209.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.1,434.1,0,0,0,0,0,0,0,54
54,CH3NO2,-32.69,-32.69,-32.69,-32.69,-1.996,-1.996,-1.996,-1.996,-1.996,10.38,10.38,-97.05,-97.05,-97.05,261.6,252.6,417.9,0,-142.6,-142.6,0,129.3,129.3,0,-94.49,-94.49,-94.49,-94.49,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.283,0,0,113,113,113,-9.639,-9.639,-9.639,0,0,-34.68,132.9,0,0,0,533.2,320.2,0,0,0,139.8,304.3,10.17,-27.7,-27.7,0,0,10.76,0,-223.1,-223.1,0,0,0,248.4,0,0,0,0,0,0,0,0,-218.9,-218.9,-218.9,-218.9,-218.9,-218.9,-218.9,-218.9,0,0,0,0,0,0,0,0,0,0,0,0,-4.565,-4.565,-4.565,55
55,CH2NO2,-32.69,-32.69,-32.69,-32.69,-1.996,-1.996,-1.996,-1.996,-1.996,10.38,10.38,-97.05,-97.05,-97.05,261.6,252.6,417.9,0,-142.6,-142.6,0,129.3,129.3,0,-94.49,-94.49,-94.49,-94.49,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.283,0,0,113,113,113,-9.639,-9.639,-9.639,0,0,-34.68,132.9,0,0,0,533.2,320.2,0,0,0,139.8,304.3,10.17,-27.7,-27.7,0,0,10.76,0,-223.1,-223.1,0,0,0,248.4,0,0,0,0,0,0,0,0,-218.9,-218.9,-218.9,-218.9,-218.9,-218.9,-218.9,-218.9,0,0,0,0,0,0,0,0,0,0,0,0,-4.565,-4.565,-4.565,56
56,CHNO2,-32.69,-32.69,-32.69,-32.69,-1.996,-1.996,-1.996,-1.996,-1.996,10.38,10.38,-97.05,-97.05,-97.05,261.6,252.6,417.9,0,-142.6,-142.6,0,129.3,129.3,0,-94.49,-94.49,-94.49,-94.49,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.283,0,0,113,113,113,-9.639,-9.639,-9.639,0,0,-34.68,132.9,0,0,0,533.2,320.2,0,0,0,139.8,304.3,10.17,-27.7,-27.7,0,0,10.76,0,-223.1,-223.1,0,0,0,248.4,0,0,0,0,0,0,0,0,-218.9,-218.9,-218.9,-218.9,-218.9,-218.9,-218.9,-218.9,0,0,0,0,0,0,0,0,0,0,0,0,-4.565,-4.565,-4.565,57
57,ACNO2,5541,5541,5541,5541,0,0,0,0,0,1824,1824,-127.8,-127.8,-127.8,561.6,0,360.7,0,-101.5,-101.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.9,2475,2475,2475,0,0,0,0,1971,1971,1971,0,0,0,0,0,514.6,-123.1,-85.12,-85.12,-85.12,0,0,0,0,0,0,2990,-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
58,CS2,-52.65,-52.65,-52.65,-52.65,16.62,16.62,16.62,16.62,16.62,21.5,21.5,40.68,40.68,40.68,609.8,914.2,1081,1421,303.7,303.7,0,243.8,243.8,0,112.4,112.4,112.4,112.4,0,0,0,0,0,0,0,0,0,0,0,0,335.7,335.7,0,0,-73.09,-73.09,-73.09,0,0,0,-26.06,-26.06,-60.71,0,277.8,277.8,277.8,0,0,0,0,0,0,292.7,0,0,0,0,0,-47.37,0,0,0,0,0,0,469.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
59,CH3SH,-7.481,-7.481,-7.481,-7.481,0,0,0,0,0,28.41,28.41,19.56,19.56,19.56,461.6,448.6,0,0,160.6,160.6,0,0,0,201.5,63.71,63.71,63.71,63.71,106.7,106.7,106.7,0,0,0,0,0,0,0,0,0,161,161,0,0,-27.94,-27.94,-27.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.66,0,0,0,78.92,78.92,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.27,-18.27,-18.27,0,0,0,0,60
60,CH2SH,-7.481,-7.481,-7.481,-7.481,0,0,0,0,0,28.41,28.41,19.56,19.56,19.56,461.6,448.6,0,0,160.6,160.6,0,0,0,201.5,63.71,63.71,63.71,63.71,106.7,106.7,106.7,0,0,0,0,0,0,0,0,0,161,161,0,0,-27.94,-27.94,-27.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.66,0,0,0,78.92,78.92,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.27,-18.27,-18.27,0,0,0,0,61
